state,size,vs_a,vs_b,vs_c,hs_a,hs_b,hs_c,party_a,party_b,party_c,ind,abs
FL,44,0.256,0.179,0.0,0,0,0,0.333,0.385,0.077,0.67,0.05
GA,27,0.417,0.042,0.042,0,0,0,0.542,0.3,0.0,0.79,0.13
HI,3,0.0,0.0,0.0,0,0,0,0.0,0.667,0.0,1,0.33
ID,9,0.444,0.0,0.0,0,0,0,0.222,0.444,0.111,0.56,0.11
IL,11,0.545,0.0,0.0,0,0,0,0.364,0.364,0.0,0.82,0.09
IN,8,0.375,0.0,0.125,0,0,0,0.3,0.125,0.5,0.75,0.13
IA,11,0.273,0.0,0.0,0,0,0,0.636,0.091,0.091,0.55,0.18
KS,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.5,0.5
KY,9,0.222,0.444,0.0,0,0,0,0.111,0.111,0.667,0.78,0
LA,9,0.222,0.333,0.222,0,0,0,0.333,0.0,0.0,0.67,0.67
ME,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,0,1
MD,4,0.0,0.333,0.0,0,0,0,0.333,0.0,0.0,0.67,0.33
MI,22,0.762,0.0,0.095,0,0,0,0.714,0.048,0.0,0.86,0.14
MN,4,0.5,0.3,0.0,0,0,0,0.3,0.0,0.0,0.25,0.75
MS,15,0.2,0.133,0.067,0,0,0,0.4,0.067,0.267,0.53,0
MO,29,0.148,0.074,0.037,0,0,0,0.222,0.222,0.074,0.48,0.37
MT,2,0.0,0.5,0.5,0,0,1,0.0,0.0,0.5,0.5,0.5
NE,4,0.3,0.3,0.0,0,0,0,0.3,0.3,0.0,1,0.25
NV,11,0.0,0.333,0.111,0,0,0,0.111,0.556,0.0,0.33,0.22
NH,6,0.167,0.167,0.0,0,0,0,0.0,0.0,0.0,0.83,1
NM,6,0.2,0.0,0.4,0,0,0,0.4,0.4,0.0,0.4,0.2
NY,10,0.0,0.111,0.0,0,0,0,0.0,0.222,0.556,0.56,0.22
NC,22,0.2,0.0,0.048,0,0,0,0.524,0.238,0.048,0.52,0.14
ND,3,0.333,0.0,0.0,0,0,0,0.0,0.0,0.333,0.33,0.67
OH,5,0.4,0.4,0.0,0,0,0,0.0,0.0,0.2,0.8,0.8
OK,25,0.292,0.625,0.0,0,1,0,0.292,0.208,0.208,0.58,0.25
OR,2,0.5,0.5,0.0,0,0,0,0.5,0.0,0.0,0.5,0
PA,3,0.0,1.0,0.0,0,0,0,0.0,0.0,0.333,0.67,0.67
SC,6,0.833,0.0,0.0,0,0,0,0.333,0.167,0.0,0.67,0.33
SD,8,0.5,0.0,0.0,0,0,0,0.333,0.167,0.333,0.67,0
TN,21,0.056,0.222,0.056,0,0,0,0.278,0.278,0.167,0.5,0.22
TX,31,0.533,0.067,0.1,0,0,0,0.367,0.367,0.0,0.53,0.1
UT,4,0.8,0.0,0.0,0,0,0,0.5,0.0,0.0,0.25,0.5
VT,2,0.5,0.0,0.0,0,0,0,0.0,0.0,0.5,1,0.5
VA,14,0.692,0.077,0.0,1,0,0,0.462,0.077,0.0,0.46,0.08
WA,3,0.0,0.0,0.333,0,0,0,0.333,0.0,0.0,0.67,0.67
WV,6,0.0,0.167,0.167,0,0,0,0.5,0.0,0.167,0.67,0.17
WI,1,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0,1,1
WY,4,0.8,0.0,0.0,0,0,0,0.0,0.3,0.0,0.25,0.75
AL,34,0.063,0.0,0.0,0,0,0,0.125,0.469,0.125,0.38,0.25
AK,8,0.0,0.833,0.0,0,0,0,0.0,0.167,0.0,0.5,0.83
AZ,19,0.778,0.167,0.056,1,0,0,0.556,0.0,0.111,0.11,0.22
AR,5,0.6,0.0,0.0,0,0,0,0.4,0.2,0.0,0.8,0
CA,8,0.375,0.625,0.0,0,0,0,0.125,0.3,0.125,0.63,0.5
CO,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1
CT,4,0.3,0.0,0.0,0,0,0,0.0,0.0,0.3,0.25,0.5
DE,1,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0
FL,44,0.256,0.205,0.077,0,0,0,0.333,0.385,0.077,0.67,0.05
GA,27,0.417,0.083,0.083,0,0,0,0.542,0.3,0.0,0.79,0.13
HI,3,0.0,0.333,0.0,0,0,0,0.0,0.667,0.0,1,0.33
ID,9,0.444,0.111,0.111,0,0,0,0.222,0.444,0.111,0.56,0.11
IL,11,0.545,0.0,0.091,0,0,0,0.364,0.364,0.0,0.82,0.09
IN,8,0.375,0.3,0.3,0,0,1,0.3,0.125,0.5,0.75,0.13
IA,11,0.273,0.091,0.091,0,0,0,0.636,0.091,0.091,0.55,0.18
KS,2,0.0,0.5,0.5,0,0,0,0.0,0.0,0.5,0.5,0.5
KY,9,0.222,0.222,0.0,0,0,0,0.111,0.111,0.667,0.78,0
LA,9,0.222,0.111,0.0,0,0,0,0.333,0.0,0.0,0.67,0.67
ME,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1
MD,4,0.0,0.0,0.0,0,0,0,0.333,0.0,0.0,0.67,0.33
MI,22,0.762,0.048,0.095,0,0,0,0.714,0.048,0.0,0.86,0.14
MN,4,0.5,0.0,0.3,0,0,0,0.3,0.0,0.0,0.25,0.75
MS,15,0.2,0.067,0.133,0,0,0,0.4,0.067,0.267,0.53,0
MO,29,0.148,0.556,0.0,0,0,0,0.222,0.222,0.074,0.48,0.37
MT,2,0.0,0.0,0.0,0,0,0,0.0,0.0,0.5,0.5,0.5
NE,4,0.3,0.5,0.0,0,0,0,0.3,0.3,0.0,1,0.25
NV,11,0.0,0.556,0.0,0,1,0,0.111,0.556,0.0,0.33,0.22
NH,6,0.167,0.0,0.667,0,0,0,0.0,0.0,0.0,0.83,1
NM,6,0.2,0.0,0.2,0,0,0,0.4,0.4,0.0,0.4,0.2
NY,10,0.0,0.333,0.333,0,0,0,0.0,0.222,0.556,0.56,0.22
NC,22,0.2,0.0,0.048,0,0,0,0.524,0.238,0.048,0.52,0.14
ND,3,0.333,0.0,0.667,0,0,0,0.0,0.0,0.333,0.33,0.67
OH,5,0.4,0.0,0.0,0,0,0,0.0,0.0,0.2,0.8,0.8
OK,25,0.292,0.0,0.0,0,0,0,0.292,0.208,0.208,0.58,0.25
OR,2,0.5,0.0,0.0,0,0,0,0.5,0.0,0.0,0.5,0
PA,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.333,0.67,0.67
SC,6,0.833,0.167,0.0,0,0,0,0.333,0.167,0.0,0.67,0.33
SD,8,0.5,0.0,0.0,0,0,0,0.333,0.167,0.333,0.67,0
TN,21,0.056,0.056,0.333,0,0,1,0.278,0.278,0.167,0.5,0.22
TX,31,0.533,0.067,0.0,0,0,0,0.367,0.367,0.0,0.53,0.1
UT,4,0.8,0.0,0.0,0,0,0,0.5,0.0,0.0,0.25,0.5
VT,2,0.5,0.0,0.5,0,0,0,0.0,0.0,0.5,1,0.5
VA,14,0.692,0.154,0.0,1,0,0,0.462,0.077,0.0,0.46,0.08
WA,3,0.0,0.333,0.333,0,0,0,0.333,0.0,0.0,0.67,0.67
WV,6,0.0,0.167,0.0,0,0,0,0.5,0.0,0.167,0.67,0.17
WI,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1
WY,4,0.8,0.0,0.0,0,0,0,0.0,0.3,0.0,0.25,0.75
AL,34,0.063,0.0,0.125,0,0,1,0.125,0.469,0.125,0.38,0.25
AK,8,0.0,0.833,0.167,0,0,0,0.0,0.167,0.0,0.5,0.83
AZ,19,0.778,0.167,0.0,1,0,0,0.556,0.0,0.111,0.11,0.22
AR,5,0.6,0.0,0.2,0,0,0,0.4,0.2,0.0,0.8,0
CA,8,0.375,0.625,0.0,0,0,0,0.125,0.3,0.125,0.63,0.5
CO,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1
CT,4,0.3,0.0,0.0,0,0,0,0.0,0.0,0.3,0.25,0.5
DE,1,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0,0
FL,44,0.256,0.205,0.0,0,0,0,0.333,0.385,0.077,0.67,0.05
GA,27,0.417,0.083,0.042,0,0,0,0.542,0.3,0.0,0.79,0.13
HI,3,0.0,0.333,0.0,0,0,0,0.0,0.667,0.0,1,0.33
ID,9,0.444,0.111,0.0,0,0,0,0.222,0.444,0.111,0.56,0.11
IL,11,0.545,0.0,0.0,0,0,0,0.364,0.364,0.0,0.82,0.09
IN,8,0.375,0.3,0.125,0,0,0,0.3,0.125,0.5,0.75,0.13
IA,11,0.273,0.091,0.0,0,0,0,0.636,0.091,0.091,0.55,0.18
KS,2,0.0,0.5,0.0,0,0,0,0.0,0.0,0.5,0.5,0.5
KY,9,0.222,0.222,0.0,0,0,0,0.111,0.111,0.667,0.78,0
LA,9,0.222,0.111,0.222,0,0,0,0.333,0.0,0.0,0.67,0.67
ME,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,1
MD,4,0.0,0.0,0.0,0,0,0,0.333,0.0,0.0,0.67,0.33
MI,22,0.762,0.048,0.095,0,0,0,0.714,0.048,0.0,0.86,0.14
MN,4,0.5,0.0,0.0,0,0,0,0.3,0.0,0.0,0.25,0.75
MS,15,0.2,0.067,0.067,0,0,0,0.4,0.067,0.267,0.53,0
MO,29,0.148,0.556,0.037,0,0,0,0.222,0.222,0.074,0.48,0.37
MT,2,0.0,0.0,0.5,0,0,1,0.0,0.0,0.5,0.5,0.5
NE,4,0.3,0.5,0.0,0,0,0,0.3,0.3,0.0,1,0.25
NV,11,0.0,0.556,0.111,0,1,0,0.111,0.556,0.0,0.33,0.22
NH,6,0.167,0.0,0.0,0,0,0,0.0,0.0,0.0,0.83,1
NM,6,0.2,0.0,0.4,0,0,0,0.4,0.4,0.0,0.4,0.2
NY,10,0.0,0.333,0.0,0,0,0,0.0,0.222,0.556,0.56,0.22
NC,22,0.2,0.0,0.048,0,0,0,0.524,0.238,0.048,0.52,0.14
ND,3,0.333,0.0,0.0,0,0,0,0.0,0.0,0.333,0.33,0.67
OH,5,0.4,0.0,0.0,0,0,0,0.0,0.0,0.2,0.8,0.8
OK,25,0.292,0.0,0.0,0,0,0,0.292,0.208,0.208,0.58,0.25
OR,2,0.5,0.0,0.0,0,0,0,0.5,0.0,0.0,0.5,0
PA,3,0.0,0.0,0.0,0,0,0,0.0,0.0,0.333,0.67,0.67
SC,6,0.833,0.167,0.0,0,0,0,0.333,0.167,0.0,0.67,0.33
SD,8,0.5,0.0,0.0,0,0,0,0.333,0.167,0.333,0.67,0
TN,21,0.056,0.056,0.056,0,0,0,0.278,0.278,0.167,0.5,0.22
TX,31,0.533,0.067,0.1,0,0,0,0.367,0.367,0.0,0.53,0.1
UT,4,0.8,0.0,0.0,0,0,0,0.5,0.0,0.0,0.25,0.5
VT,2,0.5,0.0,0.0,0,0,0,0.0,0.0,0.5,1,0.5
VA,14,0.692,0.154,0.0,1,0,0,0.462,0.077,0.0,0.46,0.08
WA,3,0.0,0.333,0.333,0,0,0,0.333,0.0,0.0,0.67,0.67
WV,6,0.0,0.167,0.167,0,0,0,0.5,0.0,0.167,0.67,0.17
WI,1,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,1,1
WY,4,0.8,0.0,0.0,0,0,0,0.0,0.3,0.0,0.25,0.75
